period,timestamp,minute,second,team_goals_before,opp_goals_before,team_id,team_name,player_id,player_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,score_diff,scored,direction,pressure
2,00:29:23.694,74,23,3,1,217,Barcelona,5246,Luis Alberto Suárez Díaz,0.7835,"[120.0, 37.9, 1.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,2,1,Left,Medium
2,00:32:18.901,77,18,1,3,222,Villarreal,26192,Matías Ariel Fernández Fernández,0.7835,"[120.0, 36.0, 2.0]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-2,1,Left,Medium
2,00:20:15.005,65,15,0,2,974,Reading WFC,10251,Fara Williams,0.7835,"[120.0, 43.6, 0.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-2,1,Right,Medium
2,00:23:33.112,68,33,0,2,970,Yeovil Town LFC,15715,Ellie Mason,0.7835,"[119.0, 42.8, 0.5]",38,Left Foot,88,Penalty,100,Saved,93,Normal,,-2,0,Right,Medium
2,00:15:33.068,60,33,0,4,218,Real Betis,6832,Rubén Castro Martín,0.7835,"[118.3, 42.4, 1.3]",40,Right Foot,88,Penalty,100,Saved,93,Normal,"[{'location': [119.3, 40.3], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",-4,0,Right,Low
2,00:47:05.262,92,5,6,2,217,Barcelona,5246,Luis Alberto Suárez Díaz,0.7835,"[120.0, 43.1, 0.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,4,1,Right,Low
5,00:00:07.280,120,7,0,0,788,Morocco,3634,Abdelhamid Sabiri,0.7835,"[120.0, 43.0, 0.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,0,1,Right,Extreme
5,00:01:00.188,121,0,0,1,772,Spain,6720,Pablo Sarabia García,0.7835,"[120.0, 44.0, 0.2]",38,Left Foot,88,Penalty,99,Post,93,Normal,"[{'location': [119.5, 40.3], 'player': {'id': 6785, 'name': 'Yassine Bounou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",-1,0,Right,Extreme
5,00:01:51.058,121,51,1,0,788,Morocco,5237,Hakim Ziyech,0.7835,"[120.0, 40.0, 1.3]",38,Left Foot,88,Penalty,97,Goal,93,Normal,,1,1,Centre,Extreme
5,00:02:44.048,122,44,0,2,772,Spain,6583,Carlos Soler Barragán,0.7835,"[119.4, 42.7, 0.7]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,-2,0,Right,Extreme
5,00:03:36.585,123,36,2,0,788,Morocco,67700,Badr Banoun,0.7835,"[119.3, 37.2, 0.1]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,2,0,Left,Extreme
5,00:04:31.109,124,31,0,2,772,Spain,5203,Sergio Busquets i Burgos,0.7835,"[119.6, 37.3, 0.5]",40,Right Foot,88,Penalty,100,Saved,93,Normal,,-2,0,Left,Extreme
5,00:05:36.479,125,36,2,0,788,Morocco,5245,Achraf Hakimi Mouh,0.7835,"[120.0, 40.1, 0.2]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,2,1,Centre,Extreme
2,00:43:14.031,88,14,0,1,134,Rennes,5477,Ousmane Dembélé,0.7835,"[120.0, 43.3, 1.3]",40,Right Foot,88,Penalty,97,Goal,93,Normal,,-1,1,Right,Extreme
1,00:10:00.283,10,0,0,0,1833,Canada,12365,Alphonso Davies,0.7835,"[119.5, 38.0, 0.2]",38,Left Foot,88,Penalty,100,Saved,93,Normal,,0,0,Left,Medium
